BS 버스터즈 - 디지털 매거진 5-24-98.smc	OK	491	67.31	0.00	0	$c0:99a1	7e0742	11861
BS 버스터즈 - 디지털 매거진 8-23-98.smc	OK	491	67.46	0.00	0	$c0:99a1	7e0742	11861
BS 분노의 요새.smc	OK	57344	0.00	76.16	0	$80:8271	814210	13497
BS 비대시 2월호.smc	OK	493	65.41	0.00	0	$c0:99a1	7e0742	11854
BS 비대시 3월호.smc	OK	493	65.42	0.00	0	$c0:99a1	7e0742	11854
BS 사랑은 밸런스 - 배틀 오브 러버즈.smc	OK	55910	80.11	1.34	0	$c1:39fb	000077	12498
BS 사텔라 워커 2 - 사테보우를 구출하라!.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 상하이 - 만리장성.smc	OK	55469	0.00	3.24	0	$9f:f8a3	002140	11433
BS 세인트 기가 10월호.smc	OK	491	67.46	0.00	0	$c0:99a1	7e0742	11858
BS 세임 게임 코마 데이터.smc	UNRENDERED	0	0.00	0.00	0	-	-	8271
BS 소사전대 와퍼즈 1.smc	OK	493	65.09	0.00	0	$c0:99a1	7e0742	11849
BS 소우사 센타이 와퍼즈 2.smc	OK	493	65.08	0.00	0	$c0:99a1	7e0742	11849
BS 소우사 센타이 와퍼즈 총집편.smc	OK	493	65.40	0.00	0	$c0:99a1	7e0742	11849
BS 슈퍼 닌자군.smc	OK	57344	0.00	53.83	0	$80:80af	804210	13085
BS 슈퍼 마리오 USA 1.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 슈퍼 마리오 USA 2.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 슈퍼 마리오 USA 3.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 슈퍼 마리오 USA 4.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 슈퍼 마리오 컬렉션 3.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 슈퍼 마작 대회.smc	OK	44984	1.91	2.84	3712	$01:c84b	012140	11493
BS 슈퍼 지구 방위군.smc	OK	16869	0.00	62.35	0	$00:8529	004210	13468
BS 슈퍼 츠메쇼기 1000.smc	OK	57344	70.77	0.00	0	$00:8038	001fff	14278
BS 슈퍼 패미컴 워즈.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 슛테 하쿤 2 10-8.smc	OK	57344	0.00	0.00	0	$c3:e0dc	002140	11766
BS 슛테 하쿤 2 6-3.smc	OK	57344	0.00	0.00	0	$c3:e0dc	002140	11766
BS 슛테 하쿤 98 윈터 이벤트 버전.smc	OK	57344	0.00	0.00	0	$c3:e0dc	002140	11818
BS 슛테 하쿤.smc	OK	57344	0.00	0.00	0	$c3:e175	002140	11749
BS 스페셜 티샷.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 스프리간 파워드.smc	OK	17247	45.16	0.02	0	$80:88df	7f0003	12255
BS 신 오니가시마 제1화.smc	OK	38031	0.00	0.00	0	$c0:01a5	002140	11586
BS 신 오니가시마 제2화.smc	OK	38031	0.00	0.00	0	$c0:01a5	002140	11586
BS 신 오니가시마 제3화.smc	OK	38031	0.00	0.00	0	$c0:01a5	002140	11586
BS 신 오니가시마 제4화.smc	OK	38031	0.00	0.00	0	$c0:01a5	002140	11586
BS 아동 조사단 마이티 포켓츠 1.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 아동 조사단 마이티 포켓츠 2.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 아동 조사단 마이티 포켓츠 3.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 아르카노이드 - 도 잇 어게인.smc	OK	41276	0.00	0.00	0	$84:8093	002140	12641
BS 알베르 오디세이.smc	OK	11571	88.60	0.97	0	$80:85ec	0000e1	15328
BS 에프 제로 그랑프리 2.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 에프 제로 그랑프리 나이트 리그.smc	OK	50136	98.09	0.00	0	$80:8057	000040	15454
BS 에프 제로 그랑프리 에이스 리그.smc	OK	50136	98.09	0.00	0	$80:8057	000040	15454
BS 에프 제로 그랑프리 퀸 리그.smc	OK	50136	98.09	0.00	0	$80:8057	000040	15454
BS 에프 제로 그랑프리 킹 리그.smc	OK	50136	98.09	0.00	0	$80:8057	000040	15454
BS 에프 제로.smc	OK	53187	75.75	0.06	0	$00:803c	000040	14252
BS 와리오의 숲.smc	OK	55971	52.06	1.05	0	$80:833b	0000d7	14564
BS 와이와이 체크 3-7.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 요시의 패널퐁.smc	OK	57344	0.49	2.81	0	$80:942c	802143	12441
BS 월간 코인 토스 덱 1.smc	OK	491	66.69	0.00	0	$c0:99a1	7e0742	11864
BS 위저드리 V - 재화의 중심.smc	OK	44112	0.00	0.00	0	$08:80c4	082140	11995
BS 융 박사의 진찰실 1.smc	OK	491	66.79	0.00	0	$c0:99a1	7e0742	11856
BS 융 박사의 진찰실 2.smc	OK	491	66.79	0.00	0	$c0:99a1	7e0742	11856
BS 익사이트바이크 분분 마리오 배틀 스타디움 1.smc	OK	50123	88.27	0.00	0	$80:80fe	80081a	13323
BS 익사이트바이크 분분 마리오 배틀 스타디움 2.smc	OK	50123	88.27	0.00	0	$80:80fe	80081a	13323
BS 익사이트바이크 분분 마리오 배틀 스타디움 3 1-11.smc	OK	50062	88.11	0.00	0	$80:8103	800817	13321
BS 익사이트바이크 분분 마리오 배틀 스타디움 3 2-8.smc	OK	50062	88.11	0.00	0	$80:8103	800817	13321
BS 익사이트바이크 분분 마리오 배틀 스타디움 4.smc	OK	49843	88.11	0.00	0	$80:8103	800817	13321
BS 젤다의 전설 고대의 석판 제1화.smc	BOOT_CRASH	-	-	-	-	-	-	
BS 젤다의 전설 고대의 석판 제2화.smc	BOOT_CRASH	-	-	-	-	-	-	
